"Order","Family","Species","Original","Authority"
"Gobiiformes","Gobiidae","Awaous banana",NA,"Awaous banana (Valenciennes, 1837)"
"Mugiliformes","Mugilidae","Dajaus monticola","Agonostomus monticola","Dajaus monticola (Bancroft, 1834)"
"Characiformes","Characidae","Astyanax bimaculatus",NA,"Astyanax bimaculatus (Linnaeus, 1758)"
"Cyprinodontiformes","Rivulidae","Anablepsoides hartii",NA,"Anablepsoides hartii (Boulenger, 1890)"
"Cichliformes","Cichlidae","Andinoacara pulcher",NA,"Andinoacara pulcher (Gill, 1858)"
"Siluriformes","Loricariidae","Ancistrus maracasae",NA,"Ancistrus maracasae Fowler, 1946"
"Siluriformes","Callichthyidae","Corydoras aeneus",NA,"Corydoras aeneus (Gill, 1858)"
"Cichliformes","Cichlidae","Crenicichla frenata",NA,"Crenicichla frenata Gill, 1858"
"Characiformes","Characidae","Corynopoma riisei",NA,"Corynopoma riisei Gill, 1858"
"Cichliformes","Cichlidae","Cichlasoma taenia",NA,"Cichlasoma taenia (Bennett, 1831)"
"Gymnotiformes","Gymnotidae","Gymnotus carapo",NA,"Gymnotus carapo Linnaeus, 1758"
"Siluriformes","Callichthyidae","Hoplosternum littorale",NA,"Hoplosternum littorale (Hancock, 1828)"
"Characiformes","Erythrinidae","Hoplias malabaricus",NA,"Hoplias malabaricus (Bloch, 1794)"
"Siluriformes","Loricariidae","Hypostomus robinii",NA,"Hypostomus robinii Valenciennes, 1840"
"Characiformes","Characidae","Hemigrammus unilineatus",NA,"Hemigrammus unilineatus (Gill, 1858)"
"Characiformes","Characidae","Hemibrycon taeniurus",NA,"Hemibrycon taeniurus (Gill, 1858)"
"Characiformes","Characidae","Odontostilbe pulchra",NA,"Odontostilbe pulchra (Gill, 1858)"
"Cichliformes","Cichlidae","Oreochromis niloticus",NA,"Oreochromis niloticus (Linnaeus, 1758)"
"Cichliformes","Cichlidae","Oreochromis mossambicus",NA,"Oreochromis mossambicus (Peters, 1852)"
"Cyprinodontiformes","Poeciliidae","Poecilia reticulata",NA,"Poecilia reticulata Peters, 1859"
"Characiformes","Characidae","Roeboides dientonito",NA,"Roeboides dientonito Schultz, 1944"
"Siluriformes","Pimelodidae","Rhamdia quelen",NA,"Rhamdia quelen (Quoy & Gaimard, 1824)"
"Characiformes","Curimatidae","Steindachnerina argentea",NA,"Steindachnerina argentea (Gill, 1858)"
"Synbranchiformes","Synbranchidae","Synbranchus marmoratus",NA,"Synbranchus marmoratus Bloch, 1795"
