"phylum","class","order","family"
"Annelida","Clitellata",NA,NA
"Arthropoda","Arachnida","Trombidiformes",NA
"Arthropoda","Collembola",NA,NA
"Arthropoda","Insecta","Coleoptera","Elmidae"
"Arthropoda","Insecta","Coleoptera","Psephenidae"
"Arthropoda","Insecta","Diptera","Chironomidae"
"Arthropoda","Insecta","Diptera","Simuliidae"
"Arthropoda","Insecta","Diptera","Tipulidae"
"Arthropoda","Insecta","Ephemeroptera","Baetidae"
"Arthropoda","Insecta","Ephemeroptera","Euthyplociidae"
"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae"
"Arthropoda","Insecta","Ephemeroptera","Tricorythidae"
"Arthropoda","Insecta","Hemiptera","Veliidae"
"Arthropoda","Insecta","Lepidoptera",NA
"Arthropoda","Insecta","Odonata","Aeshnidae"
"Arthropoda","Insecta","Odonata","Calopterygidae"
"Arthropoda","Insecta","Odonata","Coenagrionidae"
"Arthropoda","Insecta","Odonata","Gomphidae"
"Arthropoda","Insecta","Odonata","Libellulidae"
"Arthropoda","Insecta","Plecoptera","Perlidae"
"Arthropoda","Insecta","Trichoptera","Calamoceratidae"
"Arthropoda","Insecta","Trichoptera","Glossosomatidae"
"Arthropoda","Insecta","Trichoptera","Helicopsychidae"
"Arthropoda","Insecta","Trichoptera","Hydropsychidae"
"Arthropoda","Insecta","Trichoptera","Hydroptilidae"
"Arthropoda","Insecta","Trichoptera","Leptoceridae"
"Arthropoda","Insecta","Trichoptera","Philopotamidae"
"Arthropoda","Malacostraca","Decapoda","Pseudothelphusidae"
"Arthropoda",NA,NA,NA
"Platyhelminthes","Turbellaria",NA,NA
