Site,Latitude,Longitude
Acono_d,10.712317,-61.399383
Acono_u,10.71365,-61.398183
Caura_d,10.689533,-61.355167
Caura_u,10.70275,-61.36785
Lopinot_d,10.68905,-61.319583
Lopinot_u,10.705167,-61.319683
LowerAripo_d,10.6503,-61.220683
LowerAripo_u,10.656333,-61.222733
Maracas_d,10.72215,-61.41995
Maracas_u,10.717983,-61.419083
Quare_d,10.66565,-61.193583
Quare_u,10.673933,-61.196867
Turure_d,10.6569,-61.168017
Turure_u,10.680233,-61.167333
UpperAripo_d,10.681517,-61.23045
UpperAripo_u,10.6858,-61.2325
